YYYY-MM-DD,QN,TG,TN,TM,TX,RFM,FM,FX,SO,NM,RR,PM
2019-07-31,3,11.7,15.8,20.2,25.2,58.3,3.0,12.5,5.2,4.5,0.3,1010.9
2019-07-30,3,11.5,13.0,22.9,31.1,53.7,3.0,11.5,9.3,2.7,0.0,1007.0
2019-07-29,3,13.1,15.8,21.0,26.7,61.5,2.0,8.2,14.2,2.1,0.0,1006.6
2019-07-28,3,17.6,17.8,19.5,21.0,89.0,3.0,9.1,0.0,7.9,0.1,999.1
2019-07-27,3,18.2,19.3,23.4,27.5,75.4,2.0,9.8,5.3,6.0,0.1,998.0
2019-07-26,3,18.1,20.3,29.6,39.6,47.8,2.0,10.8,9.5,4.1,0.0,1003.6
2019-07-25,3,17.5,19.1,31.2,40.7,45.2,2.0,8.6,12.8,2.0,0.0,1009.0
2019-07-24,3,17.1,19.8,30.4,39.1,41.8,2.0,9.8,13.6,2.0,0.0,1009.6
2019-07-23,3,13.7,15.0,26.5,34.9,52.5,2.0,6.7,14.7,1.5,0.0,1015.1
2019-07-22,3,12.7,14.1,22.3,29.2,60.7,2.0,10.8,13.8,4.7,0.0,1018.3
2019-07-21,3,12.2,14.9,19.8,25.6,70.8,2.0,9.4,6.2,6.1,0.0,1015.6
2019-07-20,3,13.8,17.1,21.5,29.5,69.5,3.0,19.2,6.0,5.4,10.3,1007.0
2019-07-19,3,15.0,17.1,21.4,26.1,59.0,3.0,10.3,7.1,6.3,0.0,1009.0
2019-07-18,3,9.7,12.1,20.3,26.5,61.3,3.0,12.5,4.8,6.4,0.2,1007.2
2019-07-17,3,6.2,9.4,16.9,23.6,71.3,2.0,6.2,3.1,5.8,0.0,1010.7
2019-07-16,3,5.2,8.2,14.9,20.9,74.4,2.0,6.7,2.7,6.0,0.0,1014.1
2019-07-15,3,5.6,8.9,14.7,18.0,73.1,2.0,6.2,0.0,6.3,0.0,1015.0
2019-07-14,3,12.3,13.6,16.3,19.0,65.6,2.0,8.7,0.0,7.1,0.0,1014.9
2019-07-13,3,12.8,14.5,17.8,23.6,75.7,3.0,9.8,2.2,6.7,0.2,1012.7
2019-07-12,3,11.1,13.4,18.8,25.7,72.5,3.0,11.8,4.5,5.9,1.3,1007.1
2019-07-11,3,11.7,14.8,19.6,25.9,69.5,3.0,10.3,2.2,6.6,0.0,1008.3
2019-07-10,3,4.9,7.7,16.2,24.2,62.4,2.0,7.2,6.7,6.1,1.7,1014.8
2019-07-09,3,7.3,10.5,16.2,22.0,55.8,2.0,9.1,7.8,4.7,0.0,1015.9
2019-07-08,3,3.7,7.0,14.0,18.7,67.7,3.0,12.2,1.1,5.0,0.0,1014.6
2019-07-07,3,6.2,9.7,16.2,20.6,61.6,3.0,9.3,4.1,4.9,0.0,1010.3
2019-07-06,3,9.9,12.4,19.5,27.0,64.9,3.0,17.8,8.0,5.2,0.5,1007.1
2019-07-05,3,11.0,14.8,20.7,27.1,55.0,2.0,10.8,5.0,4.7,0.0,1012.5
2019-07-04,3,6.2,9.6,18.1,24.8,50.0,2.0,8.2,11.2,3.2,0.0,1018.6
2019-07-03,3,10.2,12.2,17.6,22.5,52.8,3.0,11.7,9.4,2.5,0.0,1019.7
2019-07-02,3,7.3,10.3,18.2,23.9,54.9,2.0,10.1,11.6,2.1,0.0,1017.7
2019-07-01,3,11.8,15.0,20.6,25.6,56.1,3.0,11.3,11.2,2.8,0.0,1013.3
